¬í	ECG	¤ß¸õ²v
0.657	-0.0259399	0
0.658	-0.0280762	0
0.659	-0.0302124	0
0.66	-0.032959	0
0.661	-0.0360107	0
0.662	-0.039978	0
0.663	-0.0445557	0
0.664	-0.0497437	0
0.665	-0.055542	0
0.666	-0.0619507	0
0.667	-0.0686646	0
0.668	-0.0759888	0
0.669	-0.0839233	0
0.67	-0.0921631	0
0.671	-0.101013	0
0.672	-0.110168	0
0.673	-0.119019	0
0.674	-0.127563	0
0.675	-0.135803	0
0.676	-0.143433	0
0.677	-0.150452	0
0.678	-0.15686	0
0.679	-0.162354	0
0.68	-0.167542	0
0.681	-0.171814	0
0.682	-0.175476	0
0.683	-0.177917	0
0.684	-0.179138	0
0.685	-0.179749	0
0.686	-0.179443	0
0.687	-0.178833	0
0.688	-0.178223	0
0.689	-0.177307	0
0.69	-0.176086	0
0.691	-0.174866	0
0.692	-0.17395	0
0.693	-0.173035	0
0.694	-0.172424	0
0.695	-0.172119	0
0.696	-0.172424	0
0.697	-0.172729	0
0.698	-0.17334	0
0.699	-0.174255	0
0.7	-0.175476	0
0.701	-0.177002	0
0.702	-0.178833	0
0.703	-0.180664	0
0.704	-0.18219	0
0.705	-0.184021	0
0.706	-0.185547	0
0.707	-0.187073	0
0.708	-0.188293	0
0.709	-0.189209	0
0.71	-0.189514	0
0.711	-0.189514	0
0.712	-0.189209	0
0.713	-0.188599	0
0.714	-0.187378	0
0.715	-0.185852	0
0.716	-0.184326	0
0.717	-0.182495	0
0.718	-0.180359	0
0.719	-0.178528	0
0.72	-0.176392	0
0.721	-0.174561	0
0.722	-0.172729	0
0.723	-0.171204	0
0.724	-0.170288	0
0.725	-0.169678	0
0.726	-0.169373	0
0.727	-0.169678	0
0.728	-0.170288	0
0.729	-0.171509	0
0.73	-0.172729	0
0.731	-0.17395	0
0.732	-0.174866	0
0.733	-0.174866	0
0.734	-0.173645	0
0.735	-0.170898	0
0.736	-0.166626	0
0.737	-0.160522	0
0.738	-0.151978	0
0.739	-0.140686	0
0.74	-0.126038	0
0.741	-0.108032	0
0.742	-0.0860596	0
0.743	-0.0604248	0
0.744	-0.0302124	0
0.745	0.00396729	0
0.746	0.0424194	0
0.747	0.085144	0
0.748	0.132446	0
0.749	0.184021	0
0.75	0.239563	0
0.751	0.298462	0
0.752	0.358887	0
0.753	0.419312	0
0.754	0.47821	0
0.755	0.533752	0
0.756	0.584412	0
0.757	0.628967	0
0.758	0.665894	0
0.759	0.694885	0
0.76	0.714722	0
0.761	0.725098	0
0.762	0.726013	0
0.763	0.716248	0
0.764	0.695496	0
0.765	0.663757	0
0.766	0.620728	0
0.767	0.567627	0
0.768	0.505676	0
0.769	0.437317	0
0.77	0.364075	0
0.771	0.288086	0
0.772	0.211182	0
0.773	0.135193	0
0.774	0.0619507	0
0.775	-0.00762939	0
0.776	-0.0723267	0
0.777	-0.132141	0
0.778	-0.186768	0
0.779	-0.235596	0
0.78	-0.279236	0
0.781	-0.317078	0
0.782	-0.349731	0
0.783	-0.377197	0
0.784	-0.399475	0
0.785	-0.41748	0
0.786	-0.431519	0
0.787	-0.4422	0
0.788	-0.450134	0
0.789	-0.455627	0
0.79	-0.458679	0
0.791	-0.4599	0
0.792	-0.458984	0
0.793	-0.456238	0
0.794	-0.452271	0
0.795	-0.446472	0
0.796	-0.439148	0
0.797	-0.429993	0
0.798	-0.418701	0
0.799	-0.405579	0
0.8	-0.39032	0
0.801	-0.37323	0
0.802	-0.354309	0
0.803	-0.334167	0
0.804	-0.31311	0
0.805	-0.291443	0
0.806	-0.269775	0
0.807	-0.248108	0
