L03 EEG I - 腦電圖
檔案名:  G3-EEG-L03
星期五, 三月 23, 2018
10:06:34 下午
秒	EEG	alpha	beta	delta	theta
1.98	-13.9587	-2.95101	-0.473559	-14.4218	1.00466
1.985	-15.1794	-2.5177	1.37592	-14.6592	1.25551
1.99	-15.8691	-1.783	2.93765	-14.9272	1.48225
1.995	-11.7859	-0.827843	4.00209	-15.225	1.67905
2	-7.68433	0.239913	4.13614	-15.5518	1.84041
2.005	-8.03833	1.29753	2.87061	-15.9063	1.96239
2.01	-13.2751	2.22139	0.165839	-16.2866	2.04137
2.015	-18.28	2.90207	-3.19819	-16.6906	2.07499
2.02	-16.9006	3.25774	-5.73064	-17.1162	2.06169
2.025	-15.0269	3.24369	-5.91697	-17.5615	2.0007
2.03	-15.9546	2.85789	-3.20739	-18.024	1.89335
2.035	-18.0847	2.14087	1.38182	-18.5012	1.74155
2.04	-13.855	1.1712	5.5709	-18.99	1.5479
2.045	-6.75049	0.0582977	7.02853	-19.4877	1.31605
2.05	-10.1563	-1.06997	4.81408	-19.9916	1.05074
2.055	-21.7407	-2.08231	0.103397	-20.4994	0.756648
2.06	-34.0942	-2.86045	-4.40626	-21.0082	0.440291
2.065	-33.3069	-3.3124	-6.10715	-21.5148	0.109235
2.07	-25.9949	-3.38479	-4.12581	-22.0166	-0.227376
2.075	-21.405	-3.0692	0.106986	-22.5108	-0.560648
2.08	-23.4436	-2.40384	3.78338	-22.9947	-0.882856
2.085	-25.2258	-1.46919	4.56511	-23.4658	-1.18592
2.09	-25.1648	-0.376564	2.1189	-23.9219	-1.46136
2.095	-24.8047	0.744511	-1.69549	-24.3604	-1.7016
2.1	-26.2146	1.76173	-4.12672	-24.7794	-1.90077
2.105	-28.9368	2.55586	-3.42993	-25.1766	-2.0542
2.11	-24.3591	3.03477	-0.0657126	-25.5504	-2.15747
2.115	-22.2412	3.1466	3.61454	-25.8995	-2.20693
2.12	-20.0806	2.88491	4.99278	-26.2228	-2.20045
2.125	-22.5464	2.2893	2.99116	-26.519	-2.13783
2.13	-28.2959	1.43946	-1.17487	-26.7873	-2.02047
